Form,State,City,Security_Grade,Area_Number,Terrain_Description,Favorable_Influences,Detrimental_Influences,INHABITANTS_Type,INHABITANTS_Annual_Income,INHABITANTS_Foreignborn,INHABITANTS_F,INHABITANTS_Negro,INHABITANTS_N,INHABITANTS_Infiltration,INHABITANTS_Relief_Families,INHABITANTS_Population_Increase,INHABITANTS_Population_Decrease,INHABITANTS_Population_Static,BUILDINGS_Types,BUILDINGS_Construction,BUILDINGS_Age,BUILDINGS_Repair,Ten_Fifteen_Desirability,Remarks,Date
NS FORM-8 6-1-37,Maryland,Baltimore ,A,2,Rolling,Fairly new suburban area of homogeneous character. Well planned development. Fairly close to city shopping area. Near Parks. Near Schools. ,None,Substantial Middle Class,"$3000 - 5,000",No,NA,No,NA,None,None,Fast ,NA,NA,Detached an row houses,Brick and frame,1 to 10 years,Good,Upward,"A recent development with much room for expansion directly to the north. Ground Rent $90-$120. Average $110. Much of this property has been built in past five years, especially on northern edge. Valuation changes do not include these properties.","May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,A,1,Undulating ,Very nicely planned residential area of medium to large homes. Direct transportation to center of city is good. Close to business area on Greenmount Ave.,None,"Executives, Professional Men",over $5000,None,NA,No,NA,None,None,Moderately Fast,NA,NA,Single family detached,Brick and Stone,12 years,Very good,Upward,"Mostly fee properties. A few homes valued at $10,000 to 15 000 along Homeland Avenue with Ground Rent up to $150","May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,A ,3,Rolling,Good residential area. Well planned.,Distance to City,"Executives, Professional Men",3500 - 7000,None,NA,No,NA,None,None,Moderately Fast,NA,NA,One family detached,"Brick, Stone, and Frame",1 to 20 years,Good to excellent,Upward,"Principally fee property. This section lies in Baltimore County outside Baltimore City. Originally developed as expensive section, but recent houses have been lower priced, thus holding down values in higher priced units. ","May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,A,4,Level,Well planned development of fairly,None,Professional and Executives ,over $5000,None,NA,None,NA,None,None,Slowly,NA,NA,One  family,"Brick, Stone, and Frame",10 years,Good,Upward,All fee property,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,A ,5,Undulating ,"Desirable residential section. Good quality, medium priced section.",None,"Executives, Professional Men","$3,500 - $10,000",None,NA,No,NA,None,None,Moderately Fast,NA,NA,One family detached,Brick and Stone,1 to 20 years,Good,Upward,Merridale only recently developed. Prices do not include Merridale. Principally fee property. Part of the section is outside Baltimore city limits.  ,NA
NS FORM-8 6-1-37,Maryland,Baltimore - Northwood,A,6,Rolling,To be developed as high grade development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Single ,Masonry,NA,NA,NA,Owned and controlled by the Roland Park Company. Developers apparently intend to keep the section comparable to Guilford. All fee property.,NA
NS FORM-8 6-1-37,Maryland,Baltimore ,B,1,Rolling to hilly,Desirable old residential section. Principally large homes and well restricted,No.,"Executives, Professional Men",over $4000,No,NA,No,NA,No,None,NA,NA,Yes,One family detached,Frame,25 years,Good,Static,"This section was completely built up in 1921. All fee properties. Houses are hard to sell in this section, but character of area is good. ",NA
NS FORM-8 6-1-37,Maryland,Baltimore ,B,2,Rolling to hilly,"Restricted, desirable residential section of moderately large houses on large lots. A wooded section of good character.",None,"Executives, Professional Men",over $5000,No,NA,No,NA,None,None,Slowly,NA,NA,One family detached,Frame and Brick,15 to 25 years,Good,Static to upward,Principally fee property. ,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,3,High level,Good residential section of fast moving property.,Few streets of property in poor condition,Business Men,$3000 and up,No,NA,No,NA,No,Few,Moderately Fast,NA,NA,Single detached,Brick and Frame,15 years,Good,Static to upward,Section is very spotty with poor houses lying on low ground. Most of new development is on western edge. Ground rents are either $90 or $120,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,4,Rolling to level,Good suburban residential area of modest homes. A desirable section of good character.,None,Business people,$2500 to $4000,Small,NA,No,NA,NA,Very few,Moderately Fast,NA,NA,One family cottage,Frame,5 to 25 years,Good,Static to upward,Ground rent range $90 to $120. Part of the section is outside Baltimore City limits,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,5,Undulating ,Good residential section of homogeneous character.,None,White collar class,$2500 to $3500,Very few,NA,No,NA,No,Very few,NA,NA,Yes,Two story row,Brick,20 years,Fairly Good,Static,Ground rents $90 to $120. Principally $90.,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,6,Rolling,Near Druid Hill Park. Close to center of city.,Built on filled ground., White collar class,"$3,000 ",No,NA,No,NA,No,None,Slowly,NA,NA,Two story row,Brick,5 to 10 years,Good,Static to upward,Three story houses on Reisterstown Road are 25 years old. Ground Rents $90 to $120. Predominating $96,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,7,High level,Stable residential section of modest homes.,None,Mechanics,$2000 to $2500,No,NA,No,NA,No,Very few,Slowly,NA,NA,Two story row and semi detached,Brick,10 years,Good,Static,Ground rents $60 to $90. Predominating $84. Fair valuation,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,8,Rolling,Good residential area holding up in value,None,Middle class,$2500 to $3500,No,NA,No,NA,None,Very few,Moderately,NA,NA,One family cottage,Frame,25 years,Good,Static to upward,Ground rents $72 to $120. Ground rents in Cedarcroft are principally $120,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore - Metropolitan Area,B,9,Undulating ,Fairly good residential section with all conveniences.,Distance to center of city,Middle class,$2500 to $3500,No,NA,No,NA,None,None,Slowly,NA,NA,One family detached,Brick and frame,1 to 20 years,Fairly Good,Static,"This section lies in Baltimore County just outside of Baltimore City. Ground rent $90 to $120. Principally $90. New houses are up to $10,000","May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,10,Rolling high,"Desirable residential section, homogeneous as to development and general type of construction. Free of bad features. Substantial class of people.",None,Skilled mechanics and Junior Executives,$2000 to $4000,Mixture,NA,No,NA,People from C-1,Few,Fast ,NA,NA,One family detached,Frame and Brick,6 to 25 years,Good,Static to upward,Considered the best lending section in the city. Ground rent $75 to $120. Averaging $95,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore ,B,11,Rolling,Homogeneous development. Near to parks. Transportation is good. All modest homes in good demand.,None,White collar class,$2000 to $3000,None,NA,No,NA,None,None,Moderately fast,NA,NA,Two story row,Brick,12 years,Very good,Upward,Ground rents range from $72 to $95. Predominating $72.,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore - Dundalk,B,12,Flat,Near to Sparrows Point. Desirable residential section.,Distances to commercial area. Narrow streets.,Officers of Plants (industrial),"$2,500 ",Few,NA,No,NA,None,Minimum,Moderately,NA,NA,Detached ,"Brick, Stucco, and Frame",20 years,Fairly Good,Upward if steel mills operate,Very few Ground Rents in Dundalk. This section was developed for officers of Bethlehem Steel Company at Sparrows Point.,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore,B,14,Level,Quiet suburban section of homogeneous character,No,White collar class,$3000 and up,No,NA,Yes,Small,No,No,Slowly,NA,NA,One family cottage,Frame,20 years,Good,Static to upward,Principally fee property. Few ground rents $120,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore - Metropolitan,B,15,NA,Outlying quiet suburban section.,None except distances to center of city.,Business men,$3000 to $4000,No,NA,No,NA,No,No,Slowly,NA,NA,Detached singles,Brick and frame,1 to 25 years,Good,Static to upward,"Outside Baltimore City limits. A few larger homes in Sudbrook Park up to $20,000. Principally fee properties. ","May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore,B,16,High level,Stable old residential section of good character.,None,Business people,$3000 to $5000,None,NA,No,NA,No,Very few,NA,NA,Yes,Two and three story row,Brick,35 years,Good,Static,Many high-grade apartments are located along Charles and St. Paul streets. Ground rents range $90 to $150. Predominating $120,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore - Metropolitan,B,17,Level,Outlying quiet suburban section. County east of Baltimore County.,No,Business men,$2000 to $10000,None,NA,No,NA,No,Very few,Slowly,NA,NA,One family detached,Frame,25 years,Good,Static to upward,Principally fee property,"May 4,1937"
NS FORM-8 6-1-37,Maryland,Baltimore,B,18,Rolling,Very high. Fairly new residential section of homogeneous development.,None,White collar class,$2000 to $3000,No,NA,No,NA,No,Nominal,Fast ,NA,NA,Two story rows,Brick,1 to 15 years,Good,Static to upward,Ground Rents range from $72 to $96. Predominating $90. A well developed and well planned section of modern homes.,"May 4,1937"
